ARCH;;;;;;
;KNET3;KNET7;KNET7_CH;FBCF3;FBCF7;FBCF7_CH
Comment;;;;;;
Org.;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS;Scalar TS
Type;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric
1978A;764.5;58.520092;2555.53707122444;66.888049;58.520092;193.357964960922
1979A;892.7;795.584009438792;2659.44333472101;75.96013;68.8803206108642;199.117163952152
1980A;1042;928.421303595223;2765.86070086177;89.502093;78.5807999269867;205.986825227301
1981A;1200.7;1078.69440896329;2863.26149135402;98.055874;88.2504098749034;203.106107866543
1982A;1361.1;1238.02078042286;2952.25887072609;108.420075;96.626337135779;200.145064772443
1983A;1497.1;1396.99858997756;3030.12378198009;113.823801;105.2694119874;194.328894171814
1984A;1614.7;1533.18537435462;3103.16042015629;120.083914;113.007593758437;192.935401341013
1985A;1717.6;1652.69619108838;3176.1822051951;127.093937;121.899653997204;195.852699032455
1986A;1823.3;1760.44742608579;3255.41557284304;137.321051;132.629854865538;204.383589499619
1987A;1936.9;1871.63567940018;3341.71663325181;148.765814;144.505092683445;215.076052277066
1988A;2059;1995.14931287037;3442.21366340019;166.216363;161.309741093731;233.211255835129
1989A;2192.1;2126.77451023033;3555.51834778342;184.619311;179.443678203488;251.769950865247
1990A;2346.3;2264.01930305192;3672.16923121068;197.512151;193.262556238485;263.556959587263
1991A;2476.2;2412.02398956812;3775.03314982487;201.577055;195.176832712601;260.440749347138
1992A;2563.3;2533.38412684677;3862.21188114316;197.17164;196.862995337096;254.350109561405
1993A;2629.4;2606.4984914908;3927.30052745191;185.715831;185.72309196702;239.581558432513
1994A;2695.7;2673.29345855523;3992.86027603928;188.971939;188.561393648165;243.2524589163
1995A;2782.1;2742.14649486572;4061.65664221898;193.721071;193.394520730866;248.945388175979
1996A;2880.1;2827.81429790108;4128.39607707549;196.906527;195.031802809523;250.629772003881
1997A;2970;2927.30556676419;4196.06153197129;201.810845;200.637144504857;255.37823732355
1998A;3061.4;3028.44208740979;4278.62940901787;217.626603;217.192351539446;274.842513524487
1999A;3178.8;3132.40617856258;4377.8680331179;237.251633;236.196418010606;298.294493029031
2000A;3333.3;3259.14983360246;4488.52644761222;259.923176;253.07622205016;318.190616433628
2001A;3501.9;3414.51923084425;4597.89394099689;271.871264;267.296171191511;327.216429064315
2002A;3669.1;3575.75555591584;4694.86416089306;273.768274;269.6390509734;324.529801707203
2003A;3871.5;3742.93394650196;4789.33974054184;281.140492;278.265150964262;329.86047997825
2004A;4098.7;3950.25572761655;4886.76656117189;297.541976;290.176936653257;340.462887157008
2005A;4362.3;4184.87904626864;4989.51545266902;316.532959;308.302023418093;352.775088813927
2006A;4657.3;4460.09303977361;5101.36926444581;344.752345;331.366428689183;369.306948888
2007A;4986.9;4771.55628378047;5226.51977962574;375.573203;365.68099392188;391.726217646528
2008A;5214.5;5101.67768671018;5346.81251656661;392.720466;379.995778432101;396.339003469465
2009A;5297.1;5284.98034419597;5419.08122622601;349.099312;349.618471009332;352.839865479169
2010A;5498.3;5374.53559268449;5498.3;362.498294;358.655348835702;362.498294
2011A;5735.5;5585.16070957703;5585.16070957703;383.289199;374.074363;374.074363
2012A;5884.4;5818.99604347451;5666.46814945481;386.636241;381.731124047307;372.553746460438
2013A;5989.8;5963.35892937706;5742.50279333187;385.460436;384.504879097157;370.500015387755
2014A;6070.6;6066.97102931489;5816.48770959035;388.98678;387.363926960235;372.329628401676
2015A;6122.9;6150.1331942288;5892.69168394812;395.817782;396.090635352541;379.129283196193
